"#",Station Name,Starts,Ends,Net Flow
1,"Cheapside, Bank",6181,2250,3931
2,"St. James's Square, St. James's",6300,2790,3510
3,"Queen Street 2, Bank",5883,2425,3458
4,"Moorfields, Moorgate",5388,1940,3448
5,"Holborn Circus, Holborn",4375,1080,3295
6,"Queen Street 1, Bank",5325,2195,3130
7,"Newgate Street , St. Paul's",4204,1129,3075
8,"Museum of London, Barbican",3439,801,2638
9,"Worship Street, Shoreditch",3474,900,2574
10,"Brushfield Street, Liverpool Street",6567,4238,2329
