"#",Station Name,Starts,Ends,Net Flow
1,"St. James's Square, St. James's",1021,7903,-6882
2,"Holborn Circus, Holborn",667,6664,-5997
3,"Queen Street 1, Bank",1518,7212,-5694
4,"Queen Street 2, Bank",1124,6766,-5642
5,"Moorfields, Moorgate",1495,6641,-5146
6,"Brushfield Street, Liverpool Street",1867,6788,-4921
7,"Cheapside, Bank",1196,5530,-4334
8,"Soho Square , Soho",761,5038,-4277
9,"St. Bride Street, Holborn",348,4562,-4214
10,"Hop Exchange, The Borough",1941,5756,-3815
